"week","day","content_type","working_title","intent_cluster","primary_url","tool_link","conversion_link","supporting_internal_link","source_guardrail","status"
"Week 1","Day 1","campaign hub refresh","AY 2026-27 ITR season filing hub launch refresh","ITR filing start","/itr-season-2026","/itr/form-selector","/expert-consultation","/learn/guide/complete-itr-guide-salaried","Confirm AY/FY framing, official portal references, no refund guarantees","ready_to_draft"
"Week 1","Day 2","short Q&A","When should salaried employees start preparing ITR documents for AY 2026-27?","ITR filing start","/blog/ay-2026-27-itr-documents-salaried","/form16-parser","/itr/form-selector","/learn/guide/complete-itr-guide-salaried","Confirm Form 16, AIS, Form 26AS, and bank validation guidance before publish","ready_to_draft"
"Week 1","Day 3","expert guide","AIS vs Form 26AS mismatch checklist before filing ITR","AIS/Form 26AS mismatch","/itr-season-2026/ais-form-26as-mismatch-checklist","/tds-refund-tracker","/expert-consultation","/learn/guide/complete-itr-guide-salaried","Use official AIS and Form 26AS references; avoid promising correction timelines","published_asset"
"Week 1","Day 4","tool workflow","How to use a Form 16 parser before choosing the right ITR form","Form 16","/itr-season-2026/form-16-parser-guide","/form16-parser","/itr/form-selector","/blog/form-16-guide-salaried-employees","Confirm parser limitations and require user review before filing","published_asset"
"Week 1","Day 5","short Q&A","Old vs new tax regime: what to compare before filing AY 2026-27 ITR","old vs new regime","/blog/old-vs-new-tax-regime-ay-2026-27","/calculators/regime-comparator","/expert-consultation","/learn/guide/complete-itr-guide-salaried","Confirm slabs/deductions from current official sources before publish","ready_to_draft"
"Week 1","Day 6","refresh","Refresh income tax calculator intro for AY 2026-27 filing intent","old vs new regime","/calculators/income-tax","/calculators/regime-comparator","/itr/form-selector","/learn/guide/complete-itr-guide-salaried","Confirm calculator assumptions and show educational disclaimer","ready_to_refresh"
"Week 1","Day 7","short Q&A","What if Form 16 and AIS income do not match?","AIS/Form 26AS mismatch","/blog/form-16-ais-income-mismatch","/form16-parser","/expert-consultation","/itr-season-2026/ais-form-26as-mismatch-checklist","Explain review steps; do not present one-size-fits-all filing advice","ready_to_draft"
"Week 2","Day 1","expert guide","Capital gains broker statement checklist for ITR-2 and ITR-3 filers","salary plus capital gains","/itr-season-2026/capital-gains-broker-statement-checklist","/capital-gains-import","/expert-consultation","/learn/guide/capital-gains-tax-guide","Confirm broker formats, STCG/LTCG framing, and asset-class caveats","published_asset"
"Week 2","Day 2","tool workflow","How to prepare salary plus capital gains data before filing ITR","salary plus capital gains","/blog/salary-capital-gains-itr-preparation-ay-2026-27","/capital-gains-import","/itr/form-selector","/itr-season-2026/capital-gains-broker-statement-checklist","Explain that final tax treatment depends on user facts and review","ready_to_draft"
"Week 2","Day 3","short Q&A","Why is my income tax refund delayed after e-verification?","refunds","/blog/income-tax-refund-delay-after-everification","/tds-refund-tracker","/expert-consultation","/itr-season-2026/itr-deadline-refund-status-tracker","Refer to official refund/status portals; avoid promising timelines","ready_to_draft"
"Week 2","Day 4","campaign asset","ITR deadline and refund-status tracker for AY 2026-27","refunds","/itr-season-2026/itr-deadline-refund-status-tracker","/tds-refund-tracker","/itr/form-selector","/learn/guide/complete-itr-guide-salaried","Confirm live deadlines before publishing dated claims","published_asset"
"Week 2","Day 5","short Q&A","Which ITR form should salaried taxpayers use when they changed jobs?","Form 16","/blog/job-change-which-itr-form-ay-2026-27","/itr/form-selector","/expert-consultation","/form16-parser","Confirm form selection is guidance only; route complex cases to expert review","ready_to_draft"
"Week 2","Day 6","refresh","Refresh salaried ITR service page with campaign links","ITR filing start","/services/itr-for-salaried","/form16-parser","/itr/form-selector","/itr-season-2026","Keep claims conservative and support-oriented","ready_to_refresh"
