date,item,status,evidence,next_action
2026-06-02,Vercel production deployment,recorded,Production deploy completed as https://myeca12-04-rc7ijx020-enon3101s-projects.vercel.app and aliased https://myeca12-04.vercel.app; remote build ready in 3m; custom domain myeca.in is not available under enon3101s-projects,Use the owning Vercel domain account to attach or alias myeca.in to this production deployment
2026-06-02,Canonical domain ownership audit,pending_external,npx.cmd vercel domains inspect myeca.in --scope enon3101s-projects failed with no access; vercel domains ls under the scope found 0 domains; DNS resolves myeca.in A records 216.198.79.1 and 64.29.17.65; myeca.in headers are Last-Modified Sat 30 May 2026 while myeca12-04.vercel.app headers are Last-Modified Tue 02 Jun 2026,Use the owning Vercel team or domain account to attach or alias myeca.in before Bing URL Inspection or real IndexNow submission
2026-06-02,Custom domain ITR content depth,live_verified,npm.cmd run check:itr-season-seo-content -- https://myeca.in passed for all priority ITR routes including the priority blog article; visible content depth and static shell checks passed,Rerun after the next production deploy before Bing URL Inspection refresh
2026-06-02,SEO deployment parity live result,pending_external,After production deploy to myeca12-04.vercel.app the parity gate still fails because myeca.in is stale from Sat 30 May 2026 while the alias is fresh from Tue 02 Jun 2026; Vercel CLI shows 0 domains in enon3101s-projects and alias set myeca.in was rejected for no domain access,Use the owning Vercel domain account to alias myeca.in to https://myeca12-04-rc7ijx020-enon3101s-projects.vercel.app then rerun check:seo-deployment-parity
2026-05-27,Canonical domain ownership audit,pending_external,"Fresh npx vercel domains inspect myeca.in --scope enon3101s-projects fails with no access; DNS resolves myeca.in A records 64.29.17.65 and 216.198.79.65 with Vercel DNS SOA ns1.vercel-dns.com",Use the owning Vercel team or domain account to attach/alias myeca.in before Bing URL Inspection or real IndexNow submission
2026-05-27,Vercel production deployment,recorded,npx vercel deploy --prod --yes --scope enon3101s-projects published dpl_FbBhano3NzZDECwtMn2P6aiJQpws and aliased https://myeca12-04.vercel.app,Use this deployment as the current alias baseline before Bing Webmaster Tools checks
2026-05-27,Vercel alias IndexNow key configured,live_verified,npm run check:indexnow-key -- https://myeca12-04.vercel.app passed after setting INDEXNOW_KEY in Vercel Production,After myeca.in points to this project run npm run check:indexnow-key -- https://myeca.in
2026-05-27,IndexNow key live verification gate,repo_updated,Added npm run check:indexnow-key to verify the deployed key-file response without logging INDEXNOW_KEY,Run after INDEXNOW_KEY is set in production before real IndexNow submission
2026-05-27,SEO outreach readiness gate,repo_updated,npm run check:seo-outreach-readiness validates the ITR outreach tracker for concrete active prospects required channel coverage campaign UTM discipline URL fields and non-counted template rows,Run before counting outreach as a ranking-growth asset
2026-05-27,Priority structured data gate,repo_updated,Added npm run check:priority-structured-data to validate required JSON-LD types unique schema ids absolute schema URLs and Article en-IN language for priority ITR routes,Run after build before Bing URL Inspection or IndexNow submission
2026-05-27,Search goal readiness gate,repo_updated,Added npm run check:search-goal-readiness to fail while latest Google or Bing evidence rows still contain pending_external,Run before claiming all-engine SEO completion
2026-05-27,Priority structured data live hosts,live_verified,npm run check:priority-structured-data passed on https://myeca.in and https://myeca12-04.vercel.app for the priority ITR route queue,Keep rerunning after production releases before Bing URL Inspection or IndexNow submission
2026-05-27,SEO deployment parity gate,repo_updated,Added npm run check:seo-deployment-parity to compare myeca.in and myeca12-04.vercel.app priority ITR SEO shell signatures,Run after every production deploy before Bing URL Inspection or IndexNow submission
2026-05-27,SEO deployment parity live result,pending_external,npm run check:seo-deployment-parity currently fails because myeca.in serves older thin shells while myeca12-04.vercel.app serves the May 27 richer shells,Alias myeca.in from the domain-owner Vercel account and rerun the parity gate
2026-05-27,Vercel alias ITR content depth,live_verified,npm run check:itr-season-seo-content -- https://myeca12-04.vercel.app passed after production deployment dpl_FbBhano3NzZDECwtMn2P6aiJQpws,Use alias as proof of deployed artifact until custom domain ownership is updated
2026-05-27,Custom domain ITR content depth,pending_external,npm run check:itr-season-seo-content -- https://myeca.in still sees older thin shells and vercel alias set failed because enon3101s-projects lacks access to myeca.in,Update myeca.in in the domain owner account to the current deployment and rerun the live content gate
2026-05-27,ITR season content quality gate,repo_updated,npm run check:itr-season-seo-content validates priority generated shells for content depth internal links filing conversion paths canonical metadata JSON-LD and AY 2026-27 terms,Run after build before Bing URL Inspection evidence is refreshed
2026-05-27,Bing indexing runbook,repo_updated,Added docs/bing-indexing-readiness.md for Bing Webmaster Tools sitemap URL inspection and IndexNow evidence,Use during the shared Bing Webmaster session
2026-05-27,Bing Webmaster Tools property,pending_external,Awaiting Bing Webmaster Tools site verification for https://myeca.in,Verify property or import from Google Search Console
2026-05-27,Bing sitemap submitted,pending_external,Technical sitemap is available at https://myeca.in/sitemap.xml,Submit sitemap in Bing Webmaster Tools and record discovered URL count
2026-05-27,IndexNow key configured,pending_external,INDEXNOW_KEY is set on the accessible Vercel Production project and alias proof passes but canonical myeca.in key-file proof is not available while the custom domain points elsewhere,Point myeca.in to this project then verify https://myeca.in/<redacted-key>.txt
2026-05-27,IndexNow priority dry run,recorded,npm run indexnow:submit -- --priority completed as a dry run and selected 9 priority ITR URLs without sending a request; dry-run output redacts INDEXNOW_KEY and keyLocation,Set INDEXNOW_KEY verify the key file and run real priority submission
2026-05-27,IndexNow priority submission,pending_external,Awaiting real IndexNow submission after key file is live,Run npm run indexnow:submit -- --submit --priority and record response
2026-05-27,Bing URL Inspection homepage,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection blog hub,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/blog,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection priority blog article,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/blog/when-will-itr-filing-start-ay-2026-27,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection salaried service,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/services/itr-for-salaried,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection income tax calculator,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/calculators/income-tax,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection form selector,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/itr/form-selector,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection Form 16 parser,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/form16-parser,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection ITR season hub,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/itr-season-2026,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing URL Inspection salary guide,pending_external,Awaiting Bing URL Inspection evidence for https://myeca.in/learn/guide/salary-tax-calculator-guide-ay-2026-27,Inspect URL and record indexability canonical and rendered content
2026-05-27,Bing IndexNow report,pending_external,Awaiting Bing Webmaster Tools IndexNow report after URL submission,Confirm received URLs or record pending report state
2026-05-27,Bing search performance baseline,pending_external,Awaiting Bing Webmaster Tools search performance baseline for ITR season URLs,Record impressions clicks indexing status and query baseline after data appears
