"priority","route","page_type","quality_status","approval_recorded","user_intent","audience","primary_keyword","key_topics","source_count","official_sources","source_last_checked","author","reviewer","approved_by","approved_at","required_action"
"P1","/","home","needs_revision","no","informational","Indian taxpayers, founders, and small businesses","ITR filing India","AY 2026-27 ITR filing path | Form 16, AIS, and Form 26AS checks | Income tax calculator and CA review options | AY 2026-27 filing path | Documents and review signals","3","MyeCA service catalog: https://myeca.in/services | MyeCA pricing and service scope: https://myeca.in/pricing | MyeCA trust and data-handling overview: https://myeca.in/trust","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/about","trust","needs_revision","no","informational","Prospective customers and partners verifying MyeCA's business identity, service scope, and operating model","about myeca","about myeca | tax experts India | fintech startup India | tax filing company | What MyeCA does | How to assess the service | Where to verify scope","2","MyeCA trust and data-handling overview: https://myeca.in/trust | MyeCA service catalog: https://myeca.in/services","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare","comparison","needs_revision","no","commercial","Taxpayers and business owners choosing between self-service and assisted filing or compliance support","tax filing comparison","tax filing comparison | ITR platform comparison | tax tool comparison | Define one comparison case | Compare scope and total cost | Verify current terms","2","MyeCA pricing and service scope: https://myeca.in/pricing | Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare/best-ca-assisted-itr-filing","comparison","needs_revision","no","commercial","Taxpayers with salary, capital gains, business income, foreign assets, or notice-response needs","CA assisted ITR filing comparison","Compare the review required by the return, not a generic package name | Check reviewer role, evidence handoff, and correction boundaries | No ranking can replace the taxpayer's actual case facts | Classify the return before comparing assisted filing | Inspect the actual review and evidence handoff | Apply current terms to the same case","2","Income Tax Department: https://www.incometax.gov.in/ | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare/cleartax-alternative","comparison","needs_revision","no","commercial","Taxpayers who need assisted ITR filing with clear document-review and support scope","ClearTax alternative","ClearTax alternative | For taxpayers comparing assisted filing | Compare CA assisted document review, case tracking, and scope visibility | Prepare filing complexity, support needs, document readiness, and post-filing expectations | ClearTax alternative comparison method | CA assisted: compare scope, cost, and follow-up | ITR evidence limits","2","ClearTax public pricing: https://cleartax.in/s/pricing | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare/indiafilings-alternative","comparison","needs_revision","no","commercial","Founders and small businesses choosing support for registration, GST, and recurring compliance","IndiaFilings alternative","Compare responsibility across registration and recurring compliance | Use a dated business-stage inventory and written handover terms | No platform ranking or promised regulatory outcome | Map the business stage before comparing support | Compare document ownership and recurring cadence | Use current terms without assuming superiority","2","IndiaFilings public service catalog: https://www.indiafilings.com/ | MyeCA startup service scope: https://myeca.in/startup-services","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare/quicko-capital-gains-alternative","comparison","needs_revision","no","commercial","Investors with broker statements, AIS mismatches, F&O, or VDA transactions","Quicko alternative","Compare transaction import coverage and exception handling | Test one anonymised broker dataset before relying on automation | Tax classification and return-form decisions remain fact-specific | Define the investment-data problem | Test import output and exception handling | Compare current terms and review boundaries","2","Quicko public pricing: https://quicko.com/pricing | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/compare/taxbuddy-alternative","comparison","needs_revision","no","commercial","Taxpayers with document gaps, prior notices, or complex returns who need expert filing support","TaxBuddy alternative","Compare support ownership, response channels, and post-filing follow-up | Use one anonymised return scenario and dated written terms | No provider ranking or guaranteed outcome | Define the support problem before comparing providers | Test communication and case ownership | Compare the dated scope, not a headline label","2","TaxBuddy public pricing: https://www.taxbuddy.com/pricing-itr-app | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/legal/disclaimer","legal","needs_revision","no","informational","Readers checking the limits of MyeCA's tax information, estimates, and professional-support scope","MyeCA disclaimer","MyeCA disclaimer | tax guidance disclaimer | legal disclaimer India | calculator disclaimer | What the disclaimer covers | Limits of general information | When case-specific review is needed","2","MyeCA terms of service: https://myeca.in/legal/terms-of-service | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/legal/privacy-policy","legal","needs_revision","no","informational","Customers deciding what personal and tax-document data to share with MyeCA","Legal Privacy Policy","Information covered by the policy | How records are used and protected | Privacy questions and requests","2","MyeCA trust and data-handling overview: https://myeca.in/trust | MyeCA contact and data-request route: https://myeca.in/contact","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
